IP LINLIN
DP 372.0 3.214042e-10
DP 373.0 3.120897e-10
DP 374.0 3.030470e-10
DP 375.0 2.942682e-10
DP 376.0 2.857456e-10
DP 377.0 2.774715e-10
DP 378.0 2.694387e-10
DP 379.0 2.616401e-10
DP 380.0 2.540687e-10
DP 381.0 2.467180e-10
DP 382.0 2.395815e-10
DP 383.0 2.326527e-10
DP 384.0 2.259258e-10
DP 385.0 2.193946e-10
DP 386.0 2.130536e-10
DP 387.0 2.068970e-10
DP 388.0 2.009196e-10
DP 389.0 1.951160e-10
DP 390.0 1.894811e-10
DP 391.0 1.840101e-10
DP 392.0 1.786981e-10
DP 393.0 1.735404e-10
DP 394.0 1.685325e-10
DP 395.0 1.636701e-10
DP 396.0 1.589489e-10
DP 397.0 1.543648e-10
DP 398.0 1.499137e-10
DP 399.0 1.455918e-10
DP 400.0 1.413953e-10
DP 401.0 1.373205e-10
DP 402.0 1.333638e-10
DP 403.0 1.295219e-10
DP 404.0 1.257914e-10
DP 405.0 1.221689e-10
DP 406.0 1.186514e-10
DP 407.0 1.152359e-10
DP 408.0 1.119192e-10
DP 409.0 1.086986e-10
DP 410.0 1.055712e-10
DP 411.0 1.025343e-10
DP 412.0 9.958538e-11
DP 413.0 9.672172e-11
DP 414.0 9.394091e-11
DP 415.0 9.124052e-11
DP 416.0 8.861821e-11
DP 417.0 8.607171e-11
DP 418.0 8.359881e-11
DP 419.0 8.119737e-11
DP 420.0 7.886532e-11
DP 421.0 7.660063e-11
DP 422.0 7.440135e-11
DP 423.0 7.226558e-11
DP 424.0 7.019146e-11
DP 425.0 6.817721e-11
DP 426.0 6.622109e-11
DP 427.0 6.432140e-11
DP 428.0 6.247652e-11
DP 429.0 6.068485e-11
DP 430.0 5.894485e-11
DP 431.0 5.725501e-11
DP 432.0 5.561388e-11
DP 433.0 5.402005e-11
DP 434.0 5.247215e-11
DP 435.0 5.096884e-11
DP 436.0 4.950883e-11
DP 437.0 4.809087e-11
DP 438.0 4.671374e-11
DP 439.0 4.537626e-11
DP 440.0 4.407727e-11
DP 441.0 4.281567e-11
DP 442.0 4.159037e-11
DP 443.0 4.040031e-11
DP 444.0 3.924449e-11
DP 445.0 3.812191e-11
DP 446.0 3.703160e-11
DP 447.0 3.597264e-11
DP 448.0 3.494411e-11
DP 449.0 3.394515e-11
DP 450.0 3.297489e-11
DP 451.0 3.203250e-11
DP 452.0 3.111718e-11
DP 453.0 3.022814e-11
DP 454.0 2.936464e-11
DP 455.0 2.852592e-11
DP 456.0 2.771128e-11
DP 457.0 2.692002e-11
DP 458.0 2.615146e-11
DP 459.0 2.540496e-11
DP 460.0 2.467987e-11
DP 461.0 2.397557e-11
DP 462.0 2.329147e-11
DP 463.0 2.262698e-11
DP 464.0 2.198154e-11
DP 465.0 2.135461e-11
DP 466.0 2.074563e-11
DP 467.0 2.015411e-11
DP 468.0 1.957953e-11
DP 469.0 1.902141e-11
DP 470.0 1.847928e-11
DP 471.0 1.795267e-11
DP 472.0 1.744113e-11
DP 473.0 1.694424e-11
DP 474.0 1.646157e-11
DP 475.0 1.599271e-11
DP 476.0 1.553727e-11
DP 477.0 1.509486e-11
DP 478.0 1.466510e-11
DP 479.0 1.424764e-11
DP 480.0 1.384211e-11
DP 481.0 1.344817e-11
DP 482.0 1.306550e-11
DP 483.0 1.269376e-11
DP 484.0 1.233265e-11
DP 485.0 1.198186e-11
DP 486.0 1.164109e-11
DP 487.0 1.131005e-11
DP 488.0 1.098847e-11
DP 489.0 1.067607e-11
DP 490.0 1.037259e-11
DP 491.0 1.007778e-11
DP 492.0 9.791377e-12
DP 493.0 9.513152e-12
DP 494.0 9.242867e-12
DP 495.0 8.980294e-12
DP 496.0 8.725211e-12
DP 497.0 8.477405e-12
DP 498.0 8.236667e-12
DP 499.0 8.002793e-12
DP 500.0 7.775588e-12
EN
