start, stop
1.839985860000000000e+09, 1.839986340000000000e+09
1.840029540000000000e+09, 1.840030020000000000e+09
1.840073220000000000e+09, 1.840073700000000000e+09
1.840116900000000000e+09, 1.840117380000000000e+09
1.840160580000000000e+09, 1.840161060000000000e+09
1.840204260000000000e+09, 1.840204740000000000e+09
1.840247940000000000e+09, 1.840248420000000000e+09
1.840291620000000000e+09, 1.840292100000000000e+09
1.840335300000000000e+09, 1.840335780000000000e+09
1.840378980000000000e+09, 1.840379460000000000e+09
1.840422660000000000e+09, 1.840423140000000000e+09
1.840466340000000000e+09, 1.840466820000000000e+09
1.840510020000000000e+09, 1.840510500000000000e+09
1.840553700000000000e+09, 1.840554180000000000e+09
1.840597380000000000e+09, 1.840597860000000000e+09
1.840641060000000000e+09, 1.840641540000000000e+09
1.840684740000000000e+09, 1.840685220000000000e+09
1.840728420000000000e+09, 1.840728900000000000e+09
1.840772100000000000e+09, 1.840772580000000000e+09
1.840815780000000000e+09, 1.840816260000000000e+09
1.840859460000000000e+09, 1.840859940000000000e+09
1.840903140000000000e+09, 1.840903620000000000e+09
1.840946820000000000e+09, 1.840947300000000000e+09
1.840990500000000000e+09, 1.840990980000000000e+09
1.841034180000000000e+09, 1.841034660000000000e+09
1.841077860000000000e+09, 1.841078340000000000e+09
1.841121540000000000e+09, 1.841122020000000000e+09
1.841165220000000000e+09, 1.841165700000000000e+09
1.841208900000000000e+09, 1.841209380000000000e+09
1.841252580000000000e+09, 1.841253060000000000e+09
1.841296260000000000e+09, 1.841296740000000000e+09
1.841339940000000000e+09, 1.841340420000000000e+09
1.841383620000000000e+09, 1.841384100000000000e+09
1.841427300000000000e+09, 1.841427780000000000e+09
1.841470980000000000e+09, 1.841471460000000000e+09
1.841514660000000000e+09, 1.841515140000000000e+09
1.841558340000000000e+09, 1.841558820000000000e+09
1.841602020000000000e+09, 1.841602500000000000e+09
1.841645700000000000e+09, 1.841646180000000000e+09
1.841689380000000000e+09, 1.841689860000000000e+09
1.841733060000000000e+09, 1.841733540000000000e+09
